ID,nodeID
9000,R9
9004,R9
9006,R9
9022,R9
9030,R9
9040,R9
9041,R9
9050,R9
9069,R9
9071,R9
9089,R9
9099,R9
9108,R9
9145,R9
9165,R9
9168,R9
9171,R9
9180,R9
9188,R9
9191,R9
9200,R9
9209,R9
9265,R9
9267,R9
9269,R9
9271,R9
9273,R9
9276,R9
9283,R9
9284,R9
9286,R9
9295,R9
9296,R9
9310,R9
9341,R9
9350,R9
9355,R9
9357,R9
9358,R9
9362,R9
9372,R9
9379,R9
9380,R9
9381,R9
9385,R9
9397,R9
9433,R9
9439,R9
9440,R9
9453,R9
9455,R9
9461,R9
9464,R9
9479,R9
9490,R9
9494,R9
9495,R9
9498,R9
9506,R9
9520,R9
9524,R9
9542,R9
9550,R9
9551,R9
9553,R9
9561,R9
9564,R9
9573,R9
9581,R9
9582,R9
9598,R9
9600,R9
9603,R9
9604,R9
9605,R9
9616,R9
9626,R9
9632,R9
9659,R9
9660,R9
9669,R9
9670,R9
9676,R9
9686,R9
9707,R9
9718,R9
9722,R9
9727,R9
9749,R9
9752,R9
9756,R9
9797,R9
9818,R9
9823,R9
9833,R9
9860,R9
9862,R9
9884,R9
9886,R9
9888,R9
9905,R9
9912,R9
9924,R9
9933,R9
9938,R9
9943,R9
9948,R9
9964,R9
9985,R9
9991,R9
9994,R9
9997,R9
9007,S9
9010,S9
9021,S9
9022,S9
9043,S9
9059,S9
9066,S9
9071,S9
9077,S9
9081,S9
9094,S9
9101,S9
9108,S9
9136,S9
9138,S9
9157,S9
9190,S9
9200,S9
9209,S9
9214,S9
9243,S9
9247,S9
9266,S9
9273,S9
9277,S9
9278,S9
9295,S9
9308,S9
9312,S9
9341,S9
9357,S9
9358,S9
9363,S9
9364,S9
9371,S9
9381,S9
9396,S9
9401,S9
9418,S9
9420,S9
9421,S9
9427,S9
9432,S9
9444,S9
9452,S9
9461,S9
9485,S9
9486,S9
9489,S9
9490,S9
9510,S9
9515,S9
9518,S9
9530,S9
9560,S9
9572,S9
9576,S9
9579,S9
9584,S9
9609,S9
9637,S9
9658,S9
9660,S9
9663,S9
9666,S9
9670,S9
9679,S9
9681,S9
9683,S9
9722,S9
9734,S9
9736,S9
9744,S9
9745,S9
9747,S9
9755,S9
9766,S9
9804,S9
9808,S9
9816,S9
9846,S9
9854,S9
9855,S9
9878,S9
9881,S9
9882,S9
9898,S9
9925,S9
9934,S9
9938,S9
9943,S9
9949,S9
9960,S9
9980,S9
9981,S9
9982,S9
9989,S9
9012,R0
9015,R0
9025,R0
9026,R0
9035,R0
9052,R0
9055,R0
9058,R0
9062,R0
9083,R0
9095,R0
9100,R0
9114,R0
9130,R0
9149,R0
9157,R0
9183,R0
9192,R0
9198,R0
9221,R0
9228,R0
9234,R0
9243,R0
9258,R0
9262,R0
9266,R0
9289,R0
9291,R0
9300,R0
9304,R0
9309,R0
9317,R0
9328,R0
9333,R0
9336,R0
9346,R0
9353,R0
9361,R0
9363,R0
9378,R0
9388,R0
9400,R0
9408,R0
9411,R0
9416,R0
9420,R0
9423,R0
9493,R0
9521,R0
9533,R0
9534,R0
9536,R0
9539,R0
9545,R0
9579,R0
9607,R0
9619,R0
9636,R0
9644,R0
9671,R0
9685,R0
9687,R0
9689,R0
9705,R0
9717,R0
9723,R0
9724,R0
9732,R0
9755,R0
9767,R0
9774,R0
9802,R0
9806,R0
9845,R0
9866,R0
9869,R0
9878,R0
9885,R0
9922,R0
9939,R0
9951,R0
9962,R0
9966,R0
9973,R0
9983,R0
9989,R0
9000,S0
9002,S0
9011,S0
9019,S0
9054,S0
9058,S0
9062,S0
9064,S0
9065,S0
9069,S0
9100,S0
9118,S0
9121,S0
9149,S0
9150,S0
9169,S0
9176,S0
9182,S0
9185,S0
9191,S0
9201,S0
9210,S0
9212,S0
9215,S0
9218,S0
9240,S0
9248,S0
9252,S0
9256,S0
9260,S0
9265,S0
9269,S0
9270,S0
9271,S0
9272,S0
9290,S0
9306,S0
9314,S0
