ID,count,nodeID
501,1,R1
503,1,R1
504,1,R1
507,2,R1
509,2,R1
511,1,R1
515,1,R1
521,2,R1
524,1,R1
529,1,R1
531,1,R1
533,1,R1
534,2,R1
536,1,R1
539,1,R1
542,1,R1
547,1,R1
550,2,R1
556,1,R1
561,1,R1
562,1,R1
566,1,R1
569,1,R1
571,1,R1
575,1,R1
581,1,R1
582,1,R1
584,1,R1
586,2,R1
587,1,R1
590,1,R1
600,1,R1
608,1,R1
611,1,R1
612,1,R1
613,1,R1
617,2,R1
621,1,R1
625,1,R1
627,2,R1
628,1,R1
629,1,R1
635,1,R1
640,1,R1
642,2,R1
645,1,R1
647,1,R1
649,1,R1
650,1,R1
651,1,R1
652,2,R1
658,1,R1
659,1,R1
663,1,R1
667,1,R1
670,1,R1
671,1,R1
681,1,R1
683,1,R1
690,1,R1
698,2,R1
700,1,R1
701,1,R1
702,1,R1
703,1,R1
706,1,R1
707,2,R1
710,1,R1
720,1,R1
728,1,R1
729,1,R1
732,1,R1
733,1,R1
738,1,R1
743,1,R1
744,1,R1
747,2,R1
751,1,R1
756,1,R1
757,1,R1
758,1,R1
760,1,R1
761,1,R1
762,1,R1
769,2,R1
774,1,R1
778,1,R1
780,1,R1
783,1,R1
786,1,R1
789,1,R1
790,2,R1
794,1,R1
796,1,R1
802,1,R1
805,1,R1
807,1,R1
809,1,R1
810,1,R1
813,1,R1
815,1,R1
816,1,R1
818,1,R1
820,1,R1
821,2,R1
822,1,R1
823,1,R1
830,1,R1
831,1,R1
838,1,R1
839,1,R1
840,1,R1
841,1,R1
842,1,R1
843,1,R1
846,1,R1
847,1,R1
848,1,R1
850,1,R1
851,1,R1
853,1,R1
855,1,R1
857,2,R1
863,1,R1
864,1,R1
867,1,R1
868,2,R1
871,1,R1
873,1,R1
875,1,R1
884,1,R1
887,1,R1
892,1,R1
902,1,R1
903,1,R1
910,1,R1
911,1,R1
912,1,R1
921,2,R1
922,1,R1
926,2,R1
927,1,R1
928,2,R1
932,1,R1
933,1,R1
935,1,R1
947,1,R1
948,1,R1
950,1,R1
952,1,R1
953,1,R1
958,1,R1
959,1,R1
962,1,R1
964,1,R1
966,1,R1
970,1,R1
976,1,R1
977,1,R1
978,1,R1
981,1,R1
985,2,R1
986,1,R1
990,1,R1
995,1,R1
997,1,R1
501,1,S1
502,1,S1
505,1,S1
507,1,S1
508,1,S1
