ID,nodeID
1007,R2
1009,R2
1010,R2
1011,R2
1018,R2
1020,R2
1022,R2
1023,R2
1024,R2
1025,R2
1026,R2
1040,R2
1042,R2
1044,R2
1046,R2
1048,R2
1050,R2
1052,R2
1057,R2
1058,R2
1061,R2
1062,R2
1063,R2
1065,R2
1066,R2
1067,R2
1068,R2
1071,R2
1072,R2
1074,R2
1077,R2
1079,R2
1082,R2
1083,R2
1084,R2
1085,R2
1094,R2
1095,R2
1103,R2
1108,R2
1109,R2
1110,R2
1120,R2
1122,R2
1123,R2
1124,R2
1125,R2
1130,R2
1131,R2
1133,R2
1134,R2
1136,R2
1138,R2
1146,R2
1147,R2
1148,R2
1157,R2
1158,R2
1159,R2
1162,R2
1165,R2
1177,R2
1179,R2
1181,R2
1189,R2
1191,R2
1194,R2
1196,R2
1200,R2
1203,R2
1209,R2
1210,R2
1211,R2
1213,R2
1215,R2
1220,R2
1228,R2
1229,R2
1231,R2
1232,R2
1233,R2
1241,R2
1242,R2
1243,R2
1245,R2
1247,R2
1248,R2
1249,R2
1251,R2
1254,R2
1259,R2
1265,R2
1266,R2
1268,R2
1271,R2
1275,R2
1276,R2
1281,R2
1283,R2
1284,R2
1285,R2
1289,R2
1290,R2
1291,R2
1293,R2
1294,R2
1298,R2
1300,R2
1303,R2
1305,R2
1309,R2
1310,R2
1316,R2
1317,R2
1319,R2
1321,R2
1322,R2
1328,R2
1336,R2
1339,R2
1340,R2
1353,R2
1356,R2
1357,R2
1359,R2
1364,R2
1368,R2
1374,R2
1375,R2
1376,R2
1381,R2
1383,R2
1384,R2
1385,R2
1386,R2
1387,R2
1390,R2
1392,R2
1396,R2
1397,R2
1398,R2
1405,R2
1412,R2
1413,R2
1415,R2
1417,R2
1418,R2
1421,R2
1427,R2
1428,R2
1431,R2
1433,R2
1434,R2
1437,R2
1438,R2
1446,R2
1450,R2
1454,R2
1455,R2
1459,R2
1465,R2
1467,R2
1468,R2
1470,R2
1472,R2
1474,R2
1477,R2
1479,R2
1482,R2
1486,R2
1489,R2
1490,R2
1492,R2
1493,R2
1001,S2
1002,S2
1003,S2
1005,S2
1006,S2
1008,S2
1009,S2
1010,S2
1011,S2
1012,S2
1015,S2
1016,S2
1017,S2
1020,S2
1021,S2
1023,S2
1026,S2
1030,S2
1033,S2
1034,S2
1036,S2
1040,S2
1041,S2
1042,S2
1043,S2
1044,S2
1047,S2
1050,S2
1059,S2
1060,S2
1062,S2
1063,S2
1070,S2
1073,S2
1075,S2
1076,S2
1079,S2
1080,S2
1086,S2
1087,S2
1092,S2
1094,S2
1095,S2
1097,S2
1098,S2
1106,S2
1107,S2
1109,S2
1112,S2
1114,S2
1115,S2
1120,S2
1123,S2
1126,S2
1129,S2
1130,S2
1133,S2
1138,S2
1141,S2
1143,S2
1150,S2
1165,S2
1170,S2
1172,S2
1174,S2
1175,S2
1177,S2
1178,S2
1183,S2
1187,S2
1188,S2
1189,S2
1191,S2
1192,S2
1193,S2
1200,S2
1201,S2
1203,S2
1207,S2
1210,S2
1213,S2
1215,S2
1216,S2
1219,S2
1232,S2
1239,S2
1241,S2
1243,S2
1251,S2
1254,S2
1255,S2
1258,S2
1259,S2
1260,S2
1261,S2
1262,S2
1267,S2
1268,S2
1276,S2
1278,S2
1279,S2
1281,S2
1283,S2
1292,S2
1295,S2
1299,S2
1301,S2
1302,S2
1303,S2
1304,S2
1305,S2
1306,S2
1308,S2
1309,S2
1319,S2
1324,S2
1330,S2
1333,S2
1340,S2
1342,S2
1351,S2
1353,S2
1355,S2
1356,S2
1357,S2
1358,S2
1359,S2
1360,S2
1365,S2
1367,S2
1377,S2
1380,S2
1383,S2
1385,S2
1390,S2
1391,S2
1392,S2
1398,S2
1405,S2
1407,S2
1409,S2
1413,S2
1416,S2
1417,S2
1420,S2
1426,S2
1430,S2
1431,S2
1436,S2
1440,S2
1442,S2
1444,S2
1460,S2
1465,S2
1470,S2
1471,S2
1472,S2
1477,S2
1479,S2
1480,S2
1483,S2
1485,S2
1486,S2
1487,S2
1489,S2
1493,S2
1000,R0
1001,R0
1002,R0
1007,R0
1009,R0
1013,R0
1014,R0
1017,R0
1018,R0
1019,R0
1021,R0
1024,R0
1025,R0
1026,R0
1028,R0
1030,R0
1031,R0
1034,R0
1035,R0
1042,R0
1043,R0
1045,R0
1049,R0
1051,R0
1052,R0
1053,R0
1055,R0
1058,R0
1060,R0
1064,R0
1067,R0
1070,R0
1072,R0
1073,R0
1077,R0
1078,R0
1080,R0
1084,R0
1086,R0
1087,R0
1097,R0
1106,R0
1110,R0
1114,R0
1115,R0
1116,R0
1117,R0
1118,R0
1119,R0
1122,R0
1127,R0
1128,R0
1129,R0
1132,R0
1139,R0
1140,R0
1146,R0
1147,R0
1150,R0
1153,R0
1155,R0
1156,R0
1157,R0
1158,R0
1159,R0
1161,R0
1165,R0
1171,R0
1174,R0
1178,R0
1180,R0
1182,R0
1183,R0
1184,R0
1187,R0
1188,R0
1189,R0
1191,R0
1193,R0
1197,R0
1200,R0
1202,R0
1204,R0
1207,R0
1208,R0
1209,R0
1212,R0
1220,R0
1222,R0
1224,R0
1234,R0
1235,R0
1236,R0
1238,R0
1241,R0
1243,R0
1246,R0
1248,R0
1250,R0
1253,R0
1254,R0
1256,R0
1257,R0
1258,R0
1262,R0
1266,R0
1271,R0
1272,R0
1273,R0
1278,R0
1279,R0
1280,R0
1282,R0
1286,R0
1289,R0
1295,R0
1297,R0
1306,R0
1318,R0
1323,R0
1324,R0
1325,R0
1332,R0
1333,R0
1336,R0
1338,R0
1342,R0
1343,R0
1348,R0
1349,R0
1350,R0
1351,R0
1360,R0
1363,R0
1367,R0
1369,R0
1370,R0
1375,R0
1380,R0
1381,R0
1382,R0
1383,R0
1386,R0
1390,R0
1391,R0
1392,R0
1394,R0
1395,R0
1398,R0
1407,R0
1410,R0
1413,R0
1416,R0
